file_md5,title,version,artist,creator,beatmapset_id,beatmap_id,total_length,bpm,diff_size,diff_overall,diff_approach,diff_drain,difficultyrating,max_combo,playcount,approved_date,State
393fbc67e5d791e147f88e3ac3d448af,Dare so Ka no Gekka (TV Size),Uran's CTB,Yousei Teikoku,NatsumeRin,13676,51945,86,170,5.0,7.0,7.0,4.0,4.58,404,99098,2010-03-29 02:42:47,1
e38516db4e29dae47a48e5fce86f8124,Taihen na Mono no Shoushitsu,Kana's CTB,IOSYS,DJPop,17819,67504,176,240,5.0,8.0,8.0,5.0,4.11,1009,80188,2010-09-10 16:59:53,1
0ec05c32eb129c5e1eeb27b4bf11ffa3,Remember History (Short Ver.),CTB Lunatic,Kraster,Serval,22115,147756,214,140,4.0,8.0,9.0,7.0,4.09,930,51523,2012-04-10 14:04:40,1
753e842a619f42c63411d66008d26339,Laplace,Deif's CTB,sakuzyo,Shiirn,45671,148029,103,155,4.0,8.0,9.0,7.0,4.02,603,34364,2012-04-26 04:34:11,1
912bbfaebeed453a0170a2bc69440518,It's Only the Fairy Tale,CTB Salad,Miyamura Yuuko,Kurai,48763,153343,126,150,4.0,5.0,8.0,5.0,2.36,391,51207,2012-06-08 15:49:28,1
68ea013e4f3db09e846e3eae72b16f50,Stamp On The Ground,hichman's CTB,Italobrothers,Natsume,51977,160002,194,150,4.0,8.0,8.0,6.0,4.3,875,115499,2012-06-23 14:51:58,1
1f75475f91bb60a1a9a6ed9543871d18,Friday (Nightcore Mix),j4yj4ys3z's CTB,Glee Cast,-Bakari-,51585,161980,56,144,4.0,7.0,8.0,6.0,3.34,261,67750,2012-06-30 14:36:37,1
2faae2ed5a11a1bbbdd5ceabb74e4d45,Lovers (TV Size),urane's Catch Platter,7!!,arken1015,33769,157103,89,164,4.0,8.0,9.0,7.0,2.65,347,113409,2012-07-04 11:43:35,1
21deea2fb96d880cbc7acf1f1b39120b,Skype x Can Can,CTB Collab,Ara Potato,Real,47078,150358,102,195,4.0,9.0,9.0,7.0,4.47,610,85943,2012-07-10 13:31:46,1
cf15d78844d94252c25d1b83c4982d49,Dreamer (TV Size),Kurai's CTB Rain,AiRI,Andrea,55494,169748,87,168,4.0,8.0,8.0,7.0,3.67,371,59557,2012-07-31 18:44:10,1
629e5ff1256506ade5b2aa2d3b6c24ba,Aozora no Namida (TV Size),Steven's CTB,Takahashi Hitomi,bossandy,47685,153948,85,175,4.0,6.0,9.0,7.0,4.7,396,55836,2012-08-07 12:19:36,1
999be9dcec1bd2785b0ac46b104f50a5,Illumiscape,Drafura's CtB Platter,Xelia,Kanna,43960,159792,117,187,4.0,7.0,9.0,6.0,4.34,607,64556,2012-08-17 14:37:07,1
c8bcf8ea4a5ec3aeaadf7645427fc3e2,milky ice bear,Deif's CTB,S-C-U,MMzz,57272,172985,108,147,4.0,8.0,8.0,7.0,4.15,565,42217,2012-08-31 15:49:18,1
c0c0543292dc1c7a4b0ed4e4dbd2d3c4,Call Me Maybe (Nightcore Mix),CTBoxer's Rain,Carly Rae Jepsen,-Bakari-,56071,177970,119,138,4.0,8.0,8.0,7.0,3.93,592,185164,2012-09-30 21:01:33,1
1971c487ab3ba333c83ad089cfbb579c,It Ends (Cut Ver.),Deif's Meat Platter,dB soundworks,Mercurial,39256,142489,103,113,4.0,8.0,8.0,7.0,3.66,508,47260,2012-11-11 22:37:25,1
a6f6c7474cf0e31b2d283932abd6af56,PLATINUM (Short Ver.),STAC's Platter,Yuuki Aoi,DJPop,64967,193347,88,164,4.0,9.0,9.0,8.0,3.41,438,46836,2012-12-24 12:29:28,1
19895712f56ad8e0b9b4db9f4e38a446,Endless Tewi-ma Park,Drafura's Rain,IOSYS,Kurosanyan,48874,181233,130,128,4.0,9.0,9.0,7.0,3.91,702,118114,2013-01-13 22:23:25,1
ce1c346192a2cff6cc233341e8f39698,Inanna no Mita Yume (Short Ver.),Deif's Overdose,Zwei,Natsume,49916,195525,119,146,4.0,9.0,9.0,8.0,4.61,604,46235,2013-02-02 12:10:13,1
5cab96e0226cdda8194e781d6fd032d6,Aimai Elegy,Red Light ~CtB~,DECO*27 feat. marina,val0108,43248,155227,169,210,4.0,9.0,9.0,7.0,4.62,857,85699,2013-02-07 16:18:09,1
cb8fbcd061939e17502f6b1e68cdaf77,Lavender Town Theme,CtB Cup,Junichi Masuda,bomber34,53810,163890,47,126,3.0,6.0,6.0,5.0,1.52,95,155506,2013-02-18 20:46:48,1
9c3da5ec15fb905af9ef198b43873596,Non stop road (TV Size),hich's Rain,sphere,Kin,57139,174799,89,175,4.0,8.0,8.0,7.0,4.38,527,33456,2013-02-23 16:03:13,1
90e415599e029b548fcacdaf48839dc2,Oriens,Drafura's Overdose,ginkiha,Deif,65855,192514,122,185,4.0,9.0,9.0,7.0,4.73,718,73682,2013-03-26 03:15:08,1
e06513a2df4df77483b552aa8e6736c1,Because Princess Inada is Scolding Me,Nito's Rain,ZUN,Stefan,50717,188267,87,161,4.0,9.0,9.0,7.0,4.33,509,53673,2013-04-05 21:27:34,1
9dfef2f4ca340216ecde24c53d60467d,Hajimari no Toki,Cup,Rita,Deif,91485,247641,129,151,3.0,6.0,6.0,4.0,1.42,234,54378,2013-05-22 17:36:44,1
2e48fe13fa84cd5e13b02dc3fcce1fa8,Hajimari no Toki,Platter,Rita,Deif,91485,247642,129,151,4.0,8.0,8.0,6.0,3.45,508,82197,2013-05-22 17:36:44,1
6a543169a757fd2d0e3e73f3e82d386d,Hajimari no Toki,Rain,Rita,Deif,91485,247643,129,151,4.0,9.0,9.0,7.0,4.32,618,70580,2013-05-22 17:36:44,1
8fa2142d2c70ea918e81acd17d273708,Hajimari no Toki,Salad,Rita,Deif,91485,247644,129,151,3.0,7.0,7.0,5.0,2.02,322,62464,2013-05-22 17:36:44,1
925816cac024f5166987d1ca0ed921e9,Cinderella Cage -Trancecore Mix-,Pie's Overdose,loz,RikiH_,74274,217225,83,187,4.0,9.0,9.0,6.0,4.63,611,63323,2013-06-02 19:40:17,1
36a8d1cf2125f2fa6ee81a498511df90,VOiCE,Rain,Romaji,eldnl,90323,245184,158,135,4.0,8.0,9.0,7.0,4.26,630,76579,2013-07-04 21:01:53,1
eaddb2dac5db2ee9f058093ab7f410da,VOiCE,Salad,Romaji,eldnl,90323,245185,158,135,3.0,0.0,6.0,4.0,1.68,370,71825,2013-07-04 21:01:53,1
8d24f008d8fd34c3fd5acc820e90183a,VOiCE,Platter,Romaji,eldnl,90323,246789,158,135,4.0,2.0,8.0,6.0,2.95,522,113642,2013-07-04 21:01:53,1
dbbed2f860d143e03f91c8525e42b373,VOiCE,Cup,Romaji,eldnl,90323,255098,158,135,2.0,3.0,5.0,3.0,1.32,374,73050,2013-07-04 21:01:53,1
9c1abf78935ea72f00ea908bf3978729,Did You See That Shadow?,Lunatic,U2 Akiyama,ZHSteven,87411,256312,91,180,4.0,9.0,9.0,7.0,4.42,565,37906,2013-07-18 09:40:34,1
f385b93605591fe2fb19e2608b3cc7ab,Did You See That Shadow?,Hard,U2 Akiyama,ZHSteven,87411,257229,91,180,3.0,8.0,8.0,5.0,3.01,406,48017,2013-07-18 09:40:34,1
444149423f672d89787d1abfd329c544,Did You See That Shadow?,Normal,U2 Akiyama,ZHSteven,87411,257546,91,180,2.0,6.0,6.0,4.0,1.79,383,49855,2013-07-18 09:40:34,1
bcc0df51bf3e6897b8c3373703369dac,Did You See That Shadow?,Insane,U2 Akiyama,ZHSteven,87411,259513,91,180,4.0,9.0,9.0,6.0,4.0,509,32721,2013-07-18 09:40:34,1
2e25b2a15769ac76e982ceffbab1f4d6,Burst The Gravity (TV Size),Rain,ALTIMA,Zeroarg,79038,224476,89,148,4.0,9.0,9.0,7.0,4.32,432,76294,2013-08-01 19:43:47,1
6443bdd6523c7b89d9f66148d3878aae,Burst The Gravity (TV Size),newtoniorock8's Salad,ALTIMA,Zeroarg,79038,233145,89,148,3.0,7.0,7.0,5.0,2.11,261,115437,2013-08-01 19:43:47,1
b25a320f85998a88fc021356ebcb6237,croiX,Spec's CTB Overdose,TeamGrimoire+Amaneko,HelloSCV,88692,266280,112,195,4.0,9.0,9.0,7.0,4.9,833,59264,2013-08-29 18:13:48,1
3a7fd765d8c20c4c7476d0494e30e20f,croiX,Spec's CTB Rain,TeamGrimoire+Amaneko,HelloSCV,88692,274012,112,195,4.0,9.0,9.0,6.0,3.9,768,60966,2013-08-29 18:13:48,1
b55ca2bbbce25f097e8a304958e85112,Bye Bye (TV Size),Kurai's Rain,7!!,mingmichael,91594,254960,86,130,4.0,9.0,9.0,7.0,3.24,380,43522,2013-09-04 04:56:41,1
88ff4a4e3d55a6bfbc4a016a1d259b20,Bye Bye (TV Size),Sey's Platter,7!!,mingmichael,91594,264637,86,130,4.0,8.0,8.0,6.0,2.76,347,35452,2013-09-04 04:56:41,1
14eafc744fd5a2a847f5d46329b3ef46,great escape (TV Size),Cup,cinema staff,Deif,118690,305017,83,184,2.0,6.0,6.0,3.0,1.2,186,81024,2013-10-15 17:28:03,1
cff6292b52576b15524e5ac5b28791ee,great escape (TV Size),Overdose,cinema staff,Deif,118690,305018,86,184,4.0,9.0,9.0,7.0,4.53,567,23620,2013-10-15 17:28:03,1
de914dc07035c7b5786755abeafd597e,great escape (TV Size),Rain,cinema staff,Deif,118690,305020,86,184,4.0,9.0,9.0,6.0,3.91,467,43705,2013-10-15 17:28:03,1
618b1737dbc71b06bda66ca67ed93127,great escape (TV Size),Salad,cinema staff,Deif,118690,305021,83,184,3.0,7.0,7.0,4.0,1.9,239,63067,2013-10-15 17:28:03,1
d10405f5e5e622804781b27d356d4e74,great escape (TV Size),Crystal,cinema staff,Deif,118690,308024,86,184,4.0,9.0,9.0,6.0,4.44,657,35312,2013-10-15 17:28:03,1
0c7320da776fcf162271e1395eea7d97,great escape (TV Size),Sey's Platter,cinema staff,Deif,118690,308262,86,184,4.0,8.0,8.0,5.0,3.7,385,55511,2013-10-15 17:28:03,1
85c201cad37566cdf13d9cebfa0cd196,Relic Song,Kurai's Salad,Shouta Kageyama,Leader,107009,297841,38,154,4.0,7.0,7.0,5.0,2.03,140,56649,2013-10-23 16:33:15,1
f99b75c5f613c8b2b77fa204c6f7379e,Relic Song,Sey's Platter,Shouta Kageyama,Leader,107009,301264,38,154,4.0,8.0,8.0,6.0,2.97,161,89448,2013-10-23 16:33:15,1
2ef5a9d5738aab4724e6b0e859a3e362,Relic Song,Deif's Cup,Shouta Kageyama,Leader,107009,302056,38,154,3.0,6.0,6.0,4.0,1.22,95,53612,2013-10-23 16:33:15,1
160ab08d72966232a94765f5cb0cd207,"Rock, Scissors, Paper",Tenshichan's Rain,ONE OK ROCK,Haya,82282,242575,151,193,4.0,9.0,9.0,7.0,4.16,775,114472,2013-10-30 20:54:07,1
4e5eb0dac188afa50675b91aaca19622,STILL SPLODIN' THO (Interlude),Kin's Rain,Anamanaguchi,Liiraye,104151,293608,64,201,4.0,9.0,9.0,7.0,4.33,386,55954,2013-11-01 22:08:42,1
43046819b6efeb13ccff5394d27de7db,STILL SPLODIN' THO (Interlude),Kin's Salad,Anamanaguchi,Liiraye,104151,293609,64,201,3.0,7.0,7.0,5.0,2.14,257,27817,2013-11-01 22:08:42,1
95fcce1f2dfe7644c79de41ca0878f16,MEPHISTO,Spec's Overdose,LeaF,Alumetorz,106212,298908,120,170,4.0,9.0,9.0,6.0,4.69,1070,88784,2013-11-07 16:39:54,1
47440d30c692e559bd8273d2c01f1faf,The Pretender,Fruitender,Infected Mushroom,Seph,104516,274783,387,174,4.0,9.0,9.0,7.0,5.01,2070,70614,2013-11-21 02:07:30,2
9886e2619aae88b50eebb61f10047dc0,The Pretender,Crystal,Infected Mushroom,Seph,104516,304466,386,174,4.0,9.0,9.0,7.0,4.75,2390,99189,2013-11-21 02:07:30,2
d93aabfd3f7568e2ddb29f79a28cd80c,World's End Dancehall,Rain,wowaka,CLSW,108037,282770,211,171,4.0,9.0,9.0,7.0,4.31,1245,75725,2013-11-25 13:24:44,1
1293655041a5e7958d1c46e292a8b6a2,World's End Dancehall,Cup,wowaka,CLSW,108037,284931,210,171,3.0,5.0,5.0,3.0,1.78,681,148751,2013-11-25 13:24:44,1
79f6586a6d2719800f09bbb198dc182e,World's End Dancehall,newtoniorock8's Platter,wowaka,CLSW,108037,288323,211,171,4.0,8.0,8.0,6.0,3.8,905,90135,2013-11-25 13:24:44,1
0d70fa07ad68fe7cd8d4d41d12bf1f3b,World's End Dancehall,Salad,wowaka,CLSW,108037,290744,211,171,3.0,6.0,6.0,4.0,2.12,794,111540,2013-11-25 13:24:44,1
bee4f0ef68db7aa1f1c20a7d7490c93d,Joraal Nebula - Leviathan,Sey's Platter,David Bergeaud,_Gezo_,71072,204236,122,125,4.0,8.0,8.0,6.0,2.89,494,16294,2013-11-27 11:35:01,1
900d65efa3a1622e2bf1a35c876566e3,Zutto (TV Size),Rain,Tomohisa Sako,mingmichael,115347,298140,80,118,4.0,9.0,9.0,7.0,3.54,336,52572,2013-12-02 01:27:07,1
c794a9650a4cbb0d79075e17d2c8db8f,Zutto (TV Size),STAC's Platter,Tomohisa Sako,mingmichael,115347,298154,78,118,4.0,8.0,8.0,6.0,2.84,288,54785,2013-12-02 01:27:07,1
5264a0915d29e69bdba9b02034d39130,Zutto (TV Size),Cup,Tomohisa Sako,mingmichael,115347,299435,80,118,2.0,5.0,5.0,3.0,1.21,150,24330,2013-12-02 01:27:07,1
ced0c7a60fcb1559d3635e32915f5408,Zutto (TV Size),Salad,Tomohisa Sako,mingmichael,115347,299436,80,118,3.0,6.0,6.0,5.0,1.72,206,31287,2013-12-02 01:27:07,1
e3218e71f5e4467fe70ad06e0443497b,TRIGGER*HAPPY,Crystal's INFINITE,P*Light,MineC24,74671,267080,110,185,4.0,9.0,9.0,7.0,4.86,714,89605,2013-12-09 19:00:34,1
47cfad6fb18f9a4bc0177ca6e8b11804,Wing my way,Hard-Jumping,KOTOKO,ZHSteven,17744,292286,131,118,4.0,5.0,8.0,6.0,4.1,654,30413,2013-12-22 14:57:13,1
1cce3a355f74429e8f6feadadadbe3cf,Wing my way,Normal-Jumping,KOTOKO,ZHSteven,17744,292661,129,118,4.0,7.0,7.0,5.0,3.24,562,25087,2013-12-22 14:57:13,1
7bfb86166f6769a7f5959bcbf85bfce0,Wing my way,Easy-Jumping,KOTOKO,ZHSteven,17744,292911,129,118,3.0,6.0,6.0,4.0,2.39,485,28692,2013-12-22 14:57:13,1
c0a74485dcfe4e1023da92855fea785c,Wing my way,Hell-Jumping,KOTOKO,ZHSteven,17744,328412,147,118,5.0,8.0,8.0,7.0,5.71,700,60430,2013-12-22 14:57:13,1
3eaaadbb8d7fa7b987a9071ad670ae8b,Hades in the Heaven,STAC's Rain,Gentle Stick X M2U,AngelHoney,114488,332059,127,130,4.0,9.0,9.0,6.0,4.39,628,55138,2013-12-25 01:18:11,1
