file_md5,title,version,artist,creator,beatmapset_id,beatmap_id,total_length,bpm,diff_size,diff_overall,diff_approach,diff_drain,difficultyrating,playcount,approved_date,State
2af9474cdc00229d9cbc30b7a5d9dd57,only my railgun (TV Size),4K HD,fripSide,DJPop,63089,193127,91,143,4,7.0,7.0,6.0,2.11,1152193,2013-02-14 02:30:11,1
383029a705f65cfca86b7e3cb9df2e51,only my railgun (TV Size),4K MX,fripSide,DJPop,63089,193128,91,143,4,7.0,7.0,8.0,3.1,706428,2013-02-14 02:30:11,1
a45882807f672dc1e51f05019de626ca,only my railgun (TV Size),4K NM,fripSide,DJPop,63089,193129,91,143,4,5.0,7.0,4.0,1.26,625532,2013-02-14 02:30:11,1
1702eed452df7cff7260b7a1ad35fbde,only my railgun (TV Size),7K HD,fripSide,DJPop,63089,193130,91,143,7,7.0,7.0,6.0,3.12,147476,2013-02-14 02:30:11,1
03e18081b3b2ca5febef60c4c272c34a,only my railgun (TV Size),7K MX,fripSide,DJPop,63089,193131,91,143,7,7.0,7.0,8.0,4.98,99177,2013-02-14 02:30:11,1
00fb0247e934b356cb89f1954c16681a,only my railgun (TV Size),7K NM,fripSide,DJPop,63089,193132,91,143,7,7.0,7.0,4.0,1.86,235664,2013-02-14 02:30:11,1
64c677f645d750afdf81326239bcaced,ChaiN De/structioN (siilento's solid remix),Hard,sakuzyo,Entozer,71255,204359,197,180,7,7.0,5.0,6.0,2.54,108081,2013-02-24 11:39:37,1
8f28256b322ca60a91f3aed6ab181a2d,ChaiN De/structioN (siilento's solid remix),Another,sakuzyo,Entozer,71255,204360,197,180,7,7.0,5.0,8.0,4.96,82928,2013-02-24 11:39:37,1
17684598a6832403cc0e1ad04cf136a8,ChaiN De/structioN (siilento's solid remix),Insane,sakuzyo,Entozer,71255,204361,197,180,7,7.0,5.0,7.0,3.35,92293,2013-02-24 11:39:37,1
e44beabce93cc871c2c5da007a851346,ChaiN De/structioN (siilento's solid remix),Normal,sakuzyo,Entozer,71255,204362,197,180,7,7.0,5.0,5.0,1.2,71806,2013-02-24 11:39:37,1
f10bd236943348cfa2c570736552c5fc,ChaiN De/structioN (siilento's solid remix),Easy,sakuzyo,Entozer,71255,206062,197,180,7,7.0,5.0,4.0,1.19,75769,2013-02-24 11:39:37,1
2b953896ab3f87697582e14fd668684d,Sweet Rain,Normal,Y&Co. feat. Karin,chonicle,74779,214127,120,155,7,7.0,3.0,5.0,1.99,101082,2013-02-28 04:40:21,1
3129d7f74cd67069c4d02fc79f56b90b,Sweet Rain,Another,Y&Co. feat. Karin,chonicle,74779,217670,120,155,7,7.0,3.0,8.0,4.41,66952,2013-02-28 04:40:21,1
35109dcc3afec36e4a0cb2e301f3f5d5,Sweet Rain,Hard,Y&Co. feat. Karin,chonicle,74779,217671,120,155,7,7.0,3.0,6.0,2.45,115458,2013-02-28 04:40:21,1
57cc7bc1e851fd32da262d332fa32431,Sweet Rain,Insane,Y&Co. feat. Karin,chonicle,74779,217675,120,155,7,7.0,3.0,7.0,3.53,118430,2013-02-28 04:40:21,1
c9d2c091b26c25d583bc70ccaa409b9e,Sweet Rain,Easy,Y&Co. feat. Karin,chonicle,74779,223375,120,155,7,7.0,7.0,4.0,1.24,91861,2013-02-28 04:40:21,1
b6918e2d49b442d792230a68976f9890,osu! tutorial,4K Basics,Peter Lambert,popner,77753,217976,120,160,4,7.0,5.0,5.0,1.42,97509,2013-03-31 04:41:38,1
9e82bbe89f46ba69005f435d0976ff20,osu! tutorial,5K Basics,Peter Lambert,popner,77753,218189,120,160,5,7.0,5.0,5.0,1.41,28501,2013-03-31 04:41:38,1
1cebfcae00cc6b3864f24902c2fc5736,osu! tutorial,6K Basics,Peter Lambert,popner,77753,225859,120,160,6,7.0,5.0,5.0,1.4,24631,2013-03-31 04:41:38,1
693f28eb731aa9733f1e7fbfeac51c7f,osu! tutorial,7K Basics,Peter Lambert,popner,77753,225860,120,160,7,7.0,5.0,5.0,1.39,57496,2013-03-31 04:41:38,1
26644bd62532da15d00880a4a9dea737,osu! tutorial,8K Basics,Peter Lambert,popner,77753,225861,120,160,8,7.0,5.0,5.0,1.36,34012,2013-03-31 04:41:38,1
fea1e93539e0ee9b7ecceb002b06aa79,Toki wo Kizamu Uta,7K HD,nayuta,Hanyuu,65847,192492,148,139,7,7.0,7.0,7.0,3.07,59269,2013-04-07 10:55:38,1
af7d1b2812f4c2e296045510d23bea2e,Toki wo Kizamu Uta,4K HD,nayuta,Hanyuu,65847,222257,148,139,4,8.0,7.0,7.0,1.94,169109,2013-04-07 10:55:38,1
cf4c4f8fdd1f64c182ed8d356a5d5ec1,Toki wo Kizamu Uta,7K NM,nayuta,Hanyuu,65847,222258,148,139,7,7.0,7.0,7.0,1.87,53239,2013-04-07 10:55:38,1
aadab38b81ba16e60860e6950a0d975a,Toki wo Kizamu Uta,4K MX,nayuta,Hanyuu,65847,222330,148,139,4,7.0,7.0,7.0,3.02,213265,2013-04-07 10:55:38,1
2440e49ea778295ece061f4779cdc652,Toki wo Kizamu Uta,7K MX,nayuta,Hanyuu,65847,222331,148,139,7,7.0,7.0,7.0,3.44,54190,2013-04-07 10:55:38,1
6e2063e5bedb63b29f2f44d80a3ae36b,Toki wo Kizamu Uta,4K EZ,nayuta,Hanyuu,65847,225307,148,139,4,7.0,7.0,7.0,1.17,60889,2013-04-07 10:55:38,1
25c527905593eeb06b082483bad302d3,Toki wo Kizamu Uta,4K NM,nayuta,Hanyuu,65847,226023,148,139,4,7.0,7.0,7.0,1.05,89799,2013-04-07 10:55:38,1
